GROUP,TEAM,ISOALPHA3,STICKER_NUM,STICKER_CODE,LATENGO
GROUP E,Ecuador,ECU,12,ECU12,TRUE
GROUP E,Ecuador,ECU,13,ECU13,TRUE
GROUP E,Ecuador,ECU,14,ECU14,FALSE
GROUP E,Ecuador,ECU,15,ECU15,FALSE
GROUP E,Ecuador,ECU,16,ECU16,TRUE
GROUP E,Ecuador,ECU,17,ECU17,FALSE
GROUP E,Ecuador,ECU,18,ECU18,TRUE
GROUP E,Ecuador,ECU,19,ECU19,TRUE
GROUP E,Ecuador,ECU,20,ECU20,TRUE
GROUP E,Germany,GER,1,GER1,TRUE
GROUP E,Germany,GER,2,GER2,TRUE
GROUP E,Germany,GER,3,GER3,TRUE
GROUP E,Germany,GER,4,GER4,TRUE
GROUP E,Germany,GER,5,GER5,TRUE
GROUP E,Germany,GER,6,GER6,TRUE
GROUP E,Germany,GER,7,GER7,TRUE
GROUP E,Germany,GER,8,GER8,TRUE
GROUP E,Germany,GER,9,GER9,TRUE
GROUP E,Germany,GER,10,GER10,FALSE
GROUP E,Germany,GER,11,GER11,TRUE
GROUP E,Germany,GER,12,GER12,FALSE
GROUP E,Germany,GER,13,GER13,TRUE
GROUP E,Germany,GER,14,GER14,TRUE
GROUP E,Germany,GER,15,GER15,TRUE
GROUP E,Germany,GER,16,GER16,TRUE
GROUP E,Germany,GER,17,GER17,TRUE
GROUP E,Germany,GER,18,GER18,TRUE
GROUP E,Germany,GER,19,GER19,TRUE
GROUP E,Germany,GER,20,GER20,TRUE
GROUP F,Japan,JAP,1,JAP1,TRUE
GROUP F,Japan,JAP,2,JAP2,TRUE
GROUP F,Japan,JAP,3,JAP3,TRUE
GROUP F,Japan,JAP,4,JAP4,TRUE
GROUP F,Japan,JAP,5,JAP5,FALSE
GROUP F,Japan,JAP,6,JAP6,TRUE
GROUP F,Japan,JAP,7,JAP7,TRUE
GROUP F,Japan,JAP,8,JAP8,TRUE
GROUP F,Japan,JAP,9,JAP9,TRUE
GROUP F,Japan,JAP,10,JAP10,TRUE
GROUP F,Japan,JAP,11,JAP11,FALSE
GROUP F,Japan,JAP,12,JAP12,TRUE
GROUP F,Japan,JAP,13,JAP13,TRUE
GROUP F,Japan,JAP,14,JAP14,TRUE
GROUP F,Japan,JAP,15,JAP15,FALSE
GROUP F,Japan,JAP,16,JAP16,TRUE
GROUP F,Japan,JAP,17,JAP17,FALSE
GROUP F,Japan,JAP,18,JAP18,TRUE
GROUP F,Japan,JAP,19,JAP19,TRUE
GROUP F,Japan,JAP,20,JAP20,TRUE
GROUP F,Netherlands,NED,1,NED1,TRUE
GROUP F,Netherlands,NED,2,NED2,TRUE
GROUP F,Netherlands,NED,3,NED3,TRUE
GROUP F,Netherlands,NED,4,NED4,TRUE
GROUP F,Netherlands,NED,5,NED5,FALSE
GROUP F,Netherlands,NED,6,NED6,FALSE
GROUP F,Netherlands,NED,7,NED7,TRUE
GROUP F,Netherlands,NED,8,NED8,FALSE
GROUP F,Netherlands,NED,9,NED9,TRUE
GROUP F,Netherlands,NED,10,NED10,TRUE
GROUP F,Netherlands,NED,11,NED11,FALSE
GROUP F,Netherlands,NED,12,NED12,FALSE
GROUP F,Netherlands,NED,13,NED13,FALSE
GROUP F,Netherlands,NED,14,NED14,TRUE
GROUP F,Netherlands,NED,15,NED15,TRUE
GROUP F,Netherlands,NED,16,NED16,TRUE
GROUP F,Netherlands,NED,17,NED17,FALSE
GROUP F,Netherlands,NED,18,NED18,TRUE
GROUP F,Netherlands,NED,19,NED19,TRUE
GROUP F,Netherlands,NED,20,NED20,TRUE
GROUP F,Sweden,SWE,1,SWE1,FALSE
GROUP F,Sweden,SWE,2,SWE2,FALSE
GROUP F,Sweden,SWE,3,SWE3,FALSE
GROUP F,Sweden,SWE,4,SWE4,FALSE
GROUP F,Sweden,SWE,5,SWE5,FALSE
GROUP F,Sweden,SWE,6,SWE6,FALSE
GROUP F,Sweden,SWE,7,SWE7,FALSE
GROUP F,Sweden,SWE,8,SWE8,FALSE
GROUP F,Sweden,SWE,9,SWE9,FALSE
GROUP F,Sweden,SWE,10,SWE10,FALSE
GROUP F,Sweden,SWE,11,SWE11,FALSE
GROUP F,Sweden,SWE,12,SWE12,FALSE
GROUP F,Sweden,SWE,13,SWE13,FALSE
GROUP F,Sweden,SWE,14,SWE14,FALSE
GROUP F,Sweden,SWE,15,SWE15,FALSE
GROUP F,Sweden,SWE,16,SWE16,FALSE
GROUP F,Sweden,SWE,17,SWE17,FALSE
GROUP F,Sweden,SWE,18,SWE18,FALSE
GROUP F,Sweden,SWE,19,SWE19,FALSE
GROUP F,Sweden,SWE,20,SWE20,FALSE
GROUP F,Tunisia,TUN,1,TUN1,TRUE
GROUP F,Tunisia,TUN,2,TUN2,TRUE
GROUP F,Tunisia,TUN,3,TUN3,TRUE
GROUP F,Tunisia,TUN,4,TUN4,TRUE
GROUP F,Tunisia,TUN,5,TUN5,TRUE
GROUP F,Tunisia,TUN,6,TUN6,FALSE
GROUP F,Tunisia,TUN,7,TUN7,TRUE
GROUP F,Tunisia,TUN,8,TUN8,TRUE
GROUP F,Tunisia,TUN,9,TUN9,TRUE
GROUP F,Tunisia,TUN,10,TUN10,TRUE
GROUP F,Tunisia,TUN,11,TUN11,TRUE
GROUP F,Tunisia,TUN,12,TUN12,FALSE
GROUP F,Tunisia,TUN,13,TUN13,FALSE
GROUP F,Tunisia,TUN,14,TUN14,TRUE
GROUP F,Tunisia,TUN,15,TUN15,FALSE
GROUP F,Tunisia,TUN,16,TUN16,TRUE
GROUP F,Tunisia,TUN,17,TUN17,FALSE
GROUP F,Tunisia,TUN,18,TUN18,TRUE
GROUP F,Tunisia,TUN,19,TUN19,TRUE
GROUP F,Tunisia,TUN,20,TUN20,TRUE
GROUP G,Belgium,BEL,1,BEL1,TRUE
